analyzer_version, artist_7digitalid, artist_familiarity, artist_hotttnesss, artist_id, artist_latitude, artist_location, artist_longitude, artist_mbid, artist_name, artist_playmeid, genre, idx_artist_terms, idx_similar_artists, release, release_7digitalid, song_hotttnesss, song_id, title, track_7digitalid
, 29785, 0.7804617487770407, 0.5742747305168561, ARMQHX71187B9890D3, nan, Atlanta GA, nan, bc5e2ad6-0a4a-4d90-b911-e9a7e6861727, Mastodon, -1, , 0, 0, Call of the Mastodon, 223563, 0.5976407977147769, SOVLGJY12A8C13FBED, Deep Sea Creature, 2442524
, 167867, 0.5615899458566065, 0.4205703072083738, AR2PT4M1187FB55B1A, nan, , nan, d54ea4a6-0b9c-4e47-bed0-289ae9ff4037, Los Chichos, 1880, , 0, 0, Adelante, 221677, nan, SOGDQZK12A8C13F37C, No Quieras Marcharte, 2423472
, 7725, 0.6876874858721554, 0.4066860994666606, ARDI88R1187B98DAB2, nan, , nan, fd87374e-ffde-4d36-89a8-8a073f795666, Foxy Brown, -1, , 0, 0, Ill Na Na, 47304, 0.5889221675559065, SODMVJR12A6D4F985D, If I..., 507029
, 2799, 0.39174139414810444, 0.2912648117531004, ARUKJUP12086C14589, nan, , nan, 8a5f2736-bcde-4a2e-8d50-72631d66a7ef, Ramón Vargas;Vladimir Jurowski, 20111, , 0, 0, Massenet: Werther, 295123, nan, SOIWBDR12A8C13A4AC, Werther - Lyric Drama in four Acts/Act I/Alors_ cest bien ici la maison du bailli?, 3343102
, 74269, 0.5934160487797832, 0.39570954770762196, ARZEWUR1187FB53DC8, 50.45663, Belgica -- Namur Namur/Ghent East Flanders, 4.87137, 0be59867-0da4-4e45-9b64-728cdf25487c, Enthroned, 55656, , 0, 0, Pentagrammaton, 785362, nan, SOHCCIA12AC907577F, Ad Te Clamamus Exsvles Mortva Liberi, 8688607
, 49956, 0.8159234203436856, 0.5551383219226409, ARUZRFN1187B98AC05, nan, Cleveland OH, nan, 2fa45bbb-0efb-4950-9d40-94bf23cbfec1, Bone Thugs-N-Harmony, 5412, , 0, 0, BTNHRESURRECTION, 310248, 0.47405483093120077, SOBOAQC12A8C13E3E9, Murder One, 3510188
, 25694, 0.5439365518845259, 0.4303002791079415, ARHBWOZ1187FB3FD53, nan, ITALY, nan, e6ff2839-5ccb-451b-b07e-f485bc143118, Utopia, 6721, , 0, 0, Utopia, 576541, nan, SOKVLHX12AB0187B39, On My Feet Again, 6389516
, 588, 0.9290302874411605, 0.7504265510189179, ARR3ONV1187B9A2F59, 54.31407, UK, -2.23001, fd857293-5ab8-40de-b29e-55a69d4e4d0f, Muse, -1, , 0, 0, Plug In Baby, 521383, 0.6528356953891383, SOMMSMW12A8C13FCCC, Bedroom Acoustics, 5764770
, 11301, 0.6451923387467661, 0.47122432991900803, AR3THYK1187B999F1F, nan, , nan, 286ec4c2-b5ca-4f85-b331-280a6d73dd14, João Gilberto, -1, , 0, 0, Joao Voz E Violato, 55934, 0.6316008180888096, SODPNJR12A6D4FA52D, Segredo, 581259
, 19967, 0.495819328959285, 0.34276521913001623, ARFELOH1187B991F95, nan, , nan, 65b785d9-499f-48e6-9063-3a1fd1bd488d, Niraj Chag, -1, , 0, 0, The Lost Souls Bonus EP, 722229, nan, SOFFLLP12AB018ED52, Sajana (Ft Faheem Mazhar), 8005714
